hom,tty,hopps,hos
3,256,204,404
5,32,98,258
4,64,138,317
2,64,377,602
7,32,47,177
0,32,8345,8709
0,128,6724,7084
1,32,904,1179
8,32,38,155
0,256,5275,5629
5,512,85,242
5,128,97,256
6,256,61,202
0,64,7779,8142
6,512,55,196
3,128,215,415
1,512,663,934
6,1024,50,190
0,512,3669,4022
7,512,42,169
3,512,186,384
0,1024,2382,2715
5,256,92,250
8,128,38,155
4,32,138,317
3,1024,158,351
2,256,350,572
1,256,762,1035
4,1024,103,274
1,64,891,1166
6,64,68,211
2,128,373,598
8,512,37,152
2,32,383,610
1,1024,567,840
7,128,45,174
2,1024,265,485
8,1024,35,150
4,512,120,296
4,128,135,313
7,64,47,176
3,64,222,422
6,128,64,206
2,512,304,525
4,256,128,305
5,1024,70,221
7,1024,40,163
8,64,38,155
7,256,45,174
1,128,825,1098
8,256,37,153
5,64,98,257
6,32,68,211
3,32,224,424
